Koordinatensystem : Lambert konform konisch
Rechtswert        : 3916500 Meter
Hochwert          : 3086500 Meter
Hoehenlage        : 0 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3916500 3086500  1  1  1   3.0 1013 263 12.9 8  4.4  94    0    0 316 -320  0
3916500 3086500  1  1  2   3.0 1013 260 13.0 8  4.5  95    0    0 317 -321  0
3916500 3086500  1  1  3   3.1 1012 260 13.6 8  4.6  96    0    0 316 -321  0
3916500 3086500  1  1  4   3.1 1011 285 11.8 8  4.6  97    0    0 314 -323  0
3916500 3086500  1  1  5   2.9 1011 300 10.7 8  4.5  96    0    0 312 -328  0
3916500 3086500  1  1  6   2.6 1011 294 11.4 7  4.4  94    0    0 306 -328  0
3916500 3086500  1  1  7   2.4 1010 283 11.7 6  4.2  92    0    0 296 -327  0
3916500 3086500  1  1  8   2.3 1010 289  9.8 3  4.0  89    0    0 278 -326  0
3916500 3086500  1  1  9   2.3 1011 292 10.4 3  4.0  89    0    0 264 -324  0
3916500 3086500  1  1 10   2.5 1011 293 12.1 2  4.0  88    0   24 259 -322  0
3916500 3086500  1  1 11   2.6 1012 292 10.0 2  4.0  87   20   73 252 -321  0
3916500 3086500  1  1 12   2.7 1012 300 10.2 2  3.9  86   48  100 250 -322  0
3916500 3086500  1  1 13   2.8 1012 299 10.5 1  4.0  85   72  108 242 -324  0
3916500 3086500  1  1 14   2.5 1012 297 10.7 4  4.0  86    6   84 250 -324  0
3916500 3086500  1  1 15   2.1 1012 305 10.8 3  3.9  87    2   56 260 -323  0
3916500 3086500  1  1 16   1.6 1013 307  9.9 3  3.8  88    0   17 253 -322  0
3916500 3086500  1  1 17   1.4 1013 310  9.5 2  3.7  88    0    0 246 -320  0
3916500 3086500  1  1 18   1.2 1014 312  9.3 2  3.6  87    0    0 240 -320  0
3916500 3086500  1  1 19   1.3 1014 310  8.6 4  3.6  86    0    0 251 -320  0
3916500 3086500  1  1 20   1.6 1014 301  8.2 6  3.6  86    0    0 275 -319  0
