Koordinatensystem : Lambert konform konisch
Rechtswert        : 3965500 Meter
Hochwert          : 2982500 Meter
Hoehenlage        : -1 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3965500 2982500  1  1  1  -5.9 1018  85  3.7 0  2.1  86    0    0 189 -287  0
3965500 2982500  1  1  2  -6.6 1018 108  4.4 0  1.9  84    0    0 188 -287  0
3965500 2982500  1  1  3  -7.2 1017 127  4.9 0  1.8  83    0    0 188 -286  0
3965500 2982500  1  1  4  -7.5 1017 131  5.1 0  1.8  85    0    0 187 -285  0
3965500 2982500  1  1  5  -7.7 1016 136  5.3 1  1.8  87    0    0 187 -285  0
3965500 2982500  1  1  6  -8.2 1015 144  6.2 3  1.8  89    0    0 204 -287  0
3965500 2982500  1  1  7  -7.2 1014 145  5.3 5  1.9  91    0    0 234 -289  0
3965500 2982500  1  1  8  -6.9 1013 139  4.8 7  2.0  92    0    0 259 -291  0
3965500 2982500  1  1  9  -6.2 1012 139  3.7 7  2.1  93    0    0 273 -294  0
3965500 2982500  1  1 10  -5.7 1011 141  4.0 8  2.3  93    0    5 281 -296  0
3965500 2982500  1  1 11  -5.2 1010 143  4.1 8  2.4  93    0   35 288 -299  0
3965500 2982500  1  1 12  -4.7 1009 146  3.9 8  2.4  93    0   42 291 -302  0
3965500 2982500  1  1 13  -4.2 1008 142  4.1 5  2.5  93    9  116 272 -305  0
3965500 2982500  1  1 14  -3.8 1006 130  4.0 7  2.6  91    1   77 264 -307  0
3965500 2982500  1  1 15  -3.8 1005 137  4.7 7  2.6  92    0   19 275 -308  0
3965500 2982500  1  1 16  -3.4 1003 129  4.9 8  2.7  94    0    6 282 -308  0
3965500 2982500  1  1 17  -2.8 1001 122  6.1 8  2.8  94    0    0 291 -309  0
3965500 2982500  1  1 18  -2.6  999 120  6.0 8  3.0  94    0    0 292 -309  0
3965500 2982500  1  1 19  -2.2  997 115  6.1 8  3.1  96    0    0 295 -310  0
3965500 2982500  1  1 20  -1.6  996 116  5.7 8  3.2  97    0    0 298 -312  0
